call_id,call_type,date,topic,topic_key,participants,sentiment_seed,text,voice_text,category,category_reason,sentiment,sentiment_score,frustration_peak,delta,sentiment_reason
EXT-001,external,2026-02-09,Renewal Negotiation,renewal,Aisha (account manager); Devin (customer),mixed,"--------------------
AM (Aisha): Hi Devin, thanks for making time today. How are things going on your side?
Customer (Devin): The renewal quote came in higher than we budgeted for.
AM (Aisha): I can put together an ROI summary you can take to your CFO.
Customer (Devin): The team is generally positive, but there are gaps.
AM (Aisha): I'd love to walk through the value you've realized this year.
Customer (Devin): I feel better about the direction. Let's check in again soon.
AM (Aisha): Thank you — I'll send a recap with clear next steps and owners by end of day.","The renewal quote came in higher than we budgeted for. The team is generally positive, but there are gaps. I feel better about the direction. Let's check in again soon.",Renewal & Commercial,Discussing renewal quote being higher than budgeted and showing ROI.,neutral,0.1,-0.4,0.6,Customer is concerned about the budget but reassured by the direction.
EXT-002,external,2026-02-28,Quarterly Business Review,qbr,Grace (account manager); Hannah (customer),pos,"--------------------
AM (Grace): Hi Hannah, thanks for making time today. How are things going on your side?
Customer (Hannah): Leadership wants to see measurable impact from this investment.
AM (Grace): Here's how your outcomes compare to similar teams in your industry.
Customer (Hannah): Numbers matter to us — show me the impact.
AM (Grace): Let's set two or three concrete goals we can track together.
Customer (Hannah): Great session — my team is going to be thrilled with this.
AM (Grace): Thank you — I'll send a recap with clear next steps and owners by end of day.",Leadership wants to see measurable impact from this investment. Numbers matter to us — show me the impact. Great session — my team is going to be thrilled with this.,Data & Reporting,"Discussing measurable impact, outcomes, metrics, and tracking goals.",positive,0.6,0.0,0.9,Initial skepticism about ROI transitioned into excitement about the session.
EXT-003,external,2026-01-19,Adoption & Onboarding,adoption,Elena (account manager); Carlos (customer),mixed,"--------------------
AM (Elena): Hi Carlos, thanks for making time today. How are things going on your side?
Customer (Carlos): Only a handful of our users are logging in regularly.
AM (Elena): Let's look at the usage data and find where people drop off.
Customer (Carlos): We've had a mixed experience, to be candid.
AM (Elena): We have an onboarding track that could help your new hires ramp faster.
Customer (Carlos): I feel better about the direction. Let's check in again soon.
AM (Elena): Thank you — I'll send a recap with clear next steps and owners by end of day.","Only a handful of our users are logging in regularly. We've had a mixed experience, to be candid. I feel better about the direction. Let's check in again soon.",Adoption & Enablement,Discussing low regular user login and onboarding new hires.,neutral,-0.1,-0.5,0.7,Mixed adoption concerns are offset by optimism about the current direction.
EXT-004,external,2026-03-14,Churn Risk & Escalation,churn_risk,Raj (account manager); Yuki (customer),neg,"--------------------
AM (Raj): Hi Yuki, thanks for making time today. How are things going on your side?
Customer (Yuki): If we can't get the compliance features, we may have to move on.
AM (Raj): Let me get you a firm commitment on the compliance roadmap.
Customer (Yuki): That would help. Our leadership pays close attention to this.
AM (Raj): I'll escalate the reliability concerns to our VP directly.
Customer (Yuki): I appreciate the candor, but we'll need to see real change fast.
AM (Raj): Thank you — I'll send a recap with clear next steps and owners by end of day.","If we can't get the compliance features, we may have to move on. That would help. Our leadership pays close attention to this. I appreciate the candor, but we'll need to see real change fast.",Product Feedback & Roadmap,Discussing compliance features and compliance roadmap commitment.,negative,-0.6,-0.8,0.2,Ultimatum regarding missing compliance features indicates high churn risk.
EXT-005,external,2026-01-25,Renewal Negotiation,renewal,Sofia (account manager); Mei (customer),mixed,"--------------------
AM (Sofia): Hi Mei, thanks for making time today. How are things going on your side?
Customer (Mei): The renewal quote came in higher than we budgeted for.
AM (Sofia): Let's look at your usage — you've grown into a higher tier organically.
Customer (Mei): We've had a mixed experience, to be candid.
AM (Sofia): I'd love to walk through the value you've realized this year.
Customer (Mei): This was helpful. Let's keep the momentum going.
AM (Sofia): Thank you — I'll send a recap with clear next steps and owners by end of day.","The renewal quote came in higher than we budgeted for. We've had a mixed experience, to be candid. This was helpful. Let's keep the momentum going.",Renewal & Commercial,Addressing a renewal quote hike due to organic usage growth.,neutral,0.0,-0.4,0.6,Budget frustration and mixed experiences tempered by appreciation for support.
EXT-006,external,2026-03-25,Adoption & Onboarding,adoption,Liam (account manager); Marcus (customer),mixed,"--------------------
AM (Liam): Hi Marcus, thanks for making time today. How are things going on your side?
Customer (Marcus): Our new hires are struggling to get onboarded to the tool.
AM (Liam): Let's look at the usage data and find where people drop off.
Customer (Marcus): That would help. Our leadership pays close attention to this.
AM (Liam): We have an onboarding track that could help your new hires ramp faster.
Customer (Marcus): Good conversation — send me that summary and we'll align internally.
AM (Liam): Thank you — I'll send a recap with clear next steps and owners by end of day.",Our new hires are struggling to get onboarded to the tool. That would help. Our leadership pays close attention to this. Good conversation — send me that summary and we'll align internally.,Adoption & Enablement,Assisting new hires struggling with onboarding and ramp times.,neutral,0.1,-0.5,0.9,"Onboarding struggles are addressed with a productive, action-oriented close."
EXT-007,external,2026-05-29,Quarterly Business Review,qbr,Carlos (account manager); Zara (customer),pos,"--------------------
AM (Carlos): Hi Zara, thanks for making time today. How are things going on your side?
Customer (Zara): Let's use today to review how the last quarter went.
AM (Carlos): I've prepared a scorecard of your key metrics and wins.
Customer (Zara): We've had a mixed experience, to be candid.
AM (Carlos): Here's how your outcomes compare to similar teams in your industry.
Customer (Zara): Great session — my team is going to be thrilled with this.
AM (Carlos): Thank you — I'll send a recap with clear next steps and owners by end of day.","Let's use today to review how the last quarter went. We've had a mixed experience, to be candid. Great session — my team is going to be thrilled with this.",Data & Reporting,Reviewing quarterly metrics scorecard and comparing performance outcomes.,positive,0.4,-0.4,1.1,Low confidence in the past quarter was overcome by a very successful session.
EXT-008,external,2026-01-12,Product Feedback,feedback,Raj (account manager); Grace (customer),mixed,"--------------------
AM (Raj): Hi Grace, thanks for making time today. How are things going on your side?
Customer (Grace): The reporting is powerful but the learning curve is steep.
AM (Raj): Let me connect you with our product team for a feedback session.
Customer (Grace): We've had a mixed experience, to be candid.
AM (Raj): That's really useful — I'll get this to product with your context.
Customer (Grace): I feel better about the direction. Let's check in again soon.
AM (Raj): Thank you — I'll send a recap with clear next steps and owners by end of day.","The reporting is powerful but the learning curve is steep. We've had a mixed experience, to be candid. I feel better about the direction. Let's check in again soon.",Product Feedback & Roadmap,Gathering usability feedback on reporting learning curve for product.,neutral,0.0,-0.3,0.5,Balancing powerful features against steep learning curves and past mixed experie
EXT-009,external,2026-02-02,Product Feedback,feedback,Naomi (account manager); Marcus (customer),mixed,"--------------------
AM (Naomi): Hi Marcus, thanks for making time today. How are things going on your side?
Customer (Marcus): The reporting is powerful but the learning curve is steep.
AM (Naomi): That's really useful — I'll get this to product with your context.
Customer (Marcus): The team is generally positive, but there are gaps.
AM (Naomi): Let me connect you with our product team for a feedback session.
Customer (Marcus): Good conversation — send me that summary and we'll align internally.
AM (Naomi): Thank you — I'll send a recap with clear next steps and owners by end of day.","The reporting is powerful but the learning curve is steep. The team is generally positive, but there are gaps. Good conversation — send me that summary and we'll align internally.",Product Feedback & Roadmap,Connecting customer with product team regarding reporting usability gaps.,positive,0.3,-0.2,0.7,"Product value is acknowledged despite some team gaps, leading to a good wrap-up."
EXT-010,external,2026-03-05,Quarterly Business Review,qbr,Tomás (account manager); Priya (customer),pos,"--------------------
AM (Tomás): Hi Priya, thanks for making time today. How are things going on your side?
Customer (Priya): We want to align on goals and success metrics for next quarter.
AM (Tomás): I've prepared a scorecard of your key metrics and wins.
Customer (Priya): The team is generally positive, but there are gaps.
AM (Tomás): Let's set two or three concrete goals we can track together.
Customer (Priya): This is exactly the partnership we were hoping for. Excited to expand.
AM (Tomás): Thank you — I'll send a recap with clear next steps and owners by end of day.","We want to align on goals and success metrics for next quarter. The team is generally positive, but there are gaps. This is exactly the partnership we were hoping for. Excited to expand.",Data & Reporting,Aligning on key performance success metrics and goals scorecard.,positive,0.8,0.0,0.7,High alignment on goals and extreme enthusiasm for the partnership.
