call_id,call_type,date,topic,topic_key,participants,sentiment_seed
EXT-001,external,2026-02-09,Renewal Negotiation,renewal,Aisha (account manager); Devin (customer),mixed
EXT-002,external,2026-02-28,Quarterly Business Review,qbr,Grace (account manager); Hannah (customer),pos
EXT-003,external,2026-01-19,Adoption & Onboarding,adoption,Elena (account manager); Carlos (customer),mixed
EXT-004,external,2026-03-14,Churn Risk & Escalation,churn_risk,Raj (account manager); Yuki (customer),neg
EXT-005,external,2026-01-25,Renewal Negotiation,renewal,Sofia (account manager); Mei (customer),mixed
EXT-006,external,2026-03-25,Adoption & Onboarding,adoption,Liam (account manager); Marcus (customer),mixed
EXT-007,external,2026-05-29,Quarterly Business Review,qbr,Carlos (account manager); Zara (customer),pos
EXT-008,external,2026-01-12,Product Feedback,feedback,Raj (account manager); Grace (customer),mixed
EXT-009,external,2026-02-02,Product Feedback,feedback,Naomi (account manager); Marcus (customer),mixed
EXT-010,external,2026-03-05,Quarterly Business Review,qbr,Tomás (account manager); Priya (customer),pos
EXT-011,external,2026-03-18,Product Feedback,feedback,Liam (account manager); Owen (customer),mixed
EXT-012,external,2026-02-20,Renewal Negotiation,renewal,Jonas (account manager); Aisha (customer),mixed
EXT-013,external,2026-06-10,Product Feedback,feedback,Owen (account manager); Devin (customer),mixed
EXT-014,external,2026-04-27,Churn Risk & Escalation,churn_risk,Priya (account manager); Owen (customer),neg
EXT-015,external,2026-06-25,Adoption & Onboarding,adoption,Grace (account manager); Zara (customer),mixed
EXT-016,external,2026-03-26,Product Feedback,feedback,Carlos (account manager); Grace (customer),mixed
EXT-017,external,2026-04-23,Churn Risk & Escalation,churn_risk,Naomi (account manager); Raj (customer),neg
EXT-018,external,2026-03-20,Churn Risk & Escalation,churn_risk,Hannah (account manager); Carlos (customer),neg
EXT-019,external,2026-06-27,Product Feedback,feedback,Hannah (account manager); Owen (customer),mixed
EXT-020,external,2026-05-17,Renewal Negotiation,renewal,Zara (account manager); Grace (customer),mixed
EXT-021,external,2026-01-12,Product Feedback,feedback,Marcus (account manager); Tomás (customer),mixed
EXT-022,external,2026-06-02,Product Feedback,feedback,Hannah (account manager); Naomi (customer),mixed
